issue_id,file,series,timestamp,issue_type,severity,value,evidence,recommended_action
load_day_ahead-largest_positive_ramp,RTS_Data/timeseries_data_files/Load/DAY_AHEAD_regional_Load.csv,aggregate,2020-08-15T08:00:00,POTENTIAL_OUTLIER_RAMP,INFO,644.1303799999996,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
load_day_ahead-largest_negative_ramp,RTS_Data/timeseries_data_files/Load/DAY_AHEAD_regional_Load.csv,aggregate,2020-07-20T21:00:00,POTENTIAL_OUTLIER_RAMP,INFO,-649.9531109999998,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
load_real_time-largest_positive_ramp,RTS_Data/timeseries_data_files/Load/REAL_TIME_regional_Load.csv,aggregate,2020-07-08T14:45:00,POTENTIAL_OUTLIER_RAMP,INFO,385.7273100000002,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
load_real_time-largest_negative_ramp,RTS_Data/timeseries_data_files/Load/REAL_TIME_regional_Load.csv,aggregate,2020-07-08T14:25:00,POTENTIAL_OUTLIER_RAMP,INFO,-357.8706110000003,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
wind_day_ahead-largest_positive_ramp,RTS_Data/timeseries_data_files/WIND/DAY_AHEAD_wind.csv,aggregate,2020-11-07T18:00:00,POTENTIAL_OUTLIER_RAMP,INFO,1542.7000000000003,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
wind_day_ahead-largest_negative_ramp,RTS_Data/timeseries_data_files/WIND/DAY_AHEAD_wind.csv,aggregate,2020-01-14T17:00:00,POTENTIAL_OUTLIER_RAMP,INFO,-1170.4,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
wind_real_time-largest_positive_ramp,RTS_Data/timeseries_data_files/WIND/REAL_TIME_wind.csv,aggregate,2020-08-25T04:15:00,POTENTIAL_OUTLIER_RAMP,INFO,530.8,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
wind_real_time-largest_negative_ramp,RTS_Data/timeseries_data_files/WIND/REAL_TIME_wind.csv,aggregate,2020-03-01T00:00:00,POTENTIAL_OUTLIER_RAMP,INFO,-612.5,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
pv_day_ahead-largest_positive_ramp,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,aggregate,2020-12-13T07:00:00,POTENTIAL_OUTLIER_RAMP,INFO,764.6999999999999,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
pv_day_ahead-largest_negative_ramp,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,aggregate,2020-01-16T16:00:00,POTENTIAL_OUTLIER_RAMP,INFO,-738.8,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
pv_day_ahead-zero-behavior,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,aggregate,not_applicable,EXPECTED_ZERO_BEHAVIOR,INFO,51.252276867030965,PV/RTPV zero output is expected during nighttime and is not missingness.,Do not impute or classify as missing solely because output is zero.
pv_real_time-largest_positive_ramp,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,aggregate,2020-02-21T06:55:00,POTENTIAL_OUTLIER_RAMP,INFO,165.89999999999998,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
pv_real_time-largest_negative_ramp,RTS_Data/timeseries_data_files/PV/REAL_TIME_pv.csv,aggregate,2020-03-15T15:00:00,POTENTIAL_OUTLIER_RAMP,INFO,-235.19999999999993,Largest observed first difference; legitimate grid behavior is not classified as bad data.,Retain; review during later extreme-condition analysis.
