resource_type,generator_id,source_identifier,bus_id,region,capacity,timeseries_file,timeseries_column,mapping_status,evidence_source,notes
load,not_applicable,1,not_applicable,1,not_applicable,RTS_Data/timeseries_data_files/Load/DAY_AHEAD_regional_Load.csv,1,VERIFIED,timeseries_pointers.csv + Load header,Area identifier mapped from MW Load pointer.
load,not_applicable,2,not_applicable,2,not_applicable,RTS_Data/timeseries_data_files/Load/DAY_AHEAD_regional_Load.csv,2,VERIFIED,timeseries_pointers.csv + Load header,Area identifier mapped from MW Load pointer.
load,not_applicable,3,not_applicable,3,not_applicable,RTS_Data/timeseries_data_files/Load/DAY_AHEAD_regional_Load.csv,3,VERIFIED,timeseries_pointers.csv + Load header,Area identifier mapped from MW Load pointer.
load,not_applicable,1,not_applicable,1,not_applicable,RTS_Data/timeseries_data_files/Load/REAL_TIME_regional_Load.csv,1,VERIFIED,timeseries_pointers.csv + Load header,Area identifier mapped from MW Load pointer.
load,not_applicable,2,not_applicable,2,not_applicable,RTS_Data/timeseries_data_files/Load/REAL_TIME_regional_Load.csv,2,VERIFIED,timeseries_pointers.csv + Load header,Area identifier mapped from MW Load pointer.
load,not_applicable,3,not_applicable,3,not_applicable,RTS_Data/timeseries_data_files/Load/REAL_TIME_regional_Load.csv,3,VERIFIED,timeseries_pointers.csv + Load header,Area identifier mapped from MW Load pointer.
wind,309_WIND_1,309_WIND_1,309,3,148.3,RTS_Data/timeseries_data_files/WIND/DAY_AHEAD_wind.csv,309_WIND_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Wind; simulation=DAY_AHEAD
wind,317_WIND_1,317_WIND_1,317,3,799.1,RTS_Data/timeseries_data_files/WIND/DAY_AHEAD_wind.csv,317_WIND_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Wind; simulation=DAY_AHEAD
wind,303_WIND_1,303_WIND_1,303,3,847,RTS_Data/timeseries_data_files/WIND/DAY_AHEAD_wind.csv,303_WIND_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Wind; simulation=DAY_AHEAD
wind,122_WIND_1,122_WIND_1,122,1,713.5,RTS_Data/timeseries_data_files/WIND/DAY_AHEAD_wind.csv,122_WIND_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Wind; simulation=DAY_AHEAD
wind,309_WIND_1,309_WIND_1,309,3,148.3,RTS_Data/timeseries_data_files/WIND/REAL_TIME_wind.csv,309_WIND_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Wind; simulation=REAL_TIME
wind,317_WIND_1,317_WIND_1,317,3,799.1,RTS_Data/timeseries_data_files/WIND/REAL_TIME_wind.csv,317_WIND_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Wind; simulation=REAL_TIME
wind,303_WIND_1,303_WIND_1,303,3,847,RTS_Data/timeseries_data_files/WIND/REAL_TIME_wind.csv,303_WIND_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Wind; simulation=REAL_TIME
wind,122_WIND_1,122_WIND_1,122,1,713.5,RTS_Data/timeseries_data_files/WIND/REAL_TIME_wind.csv,122_WIND_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Wind; simulation=REAL_TIME
pv,320_PV_1,320_PV_1,320,3,51.6,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,320_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,314_PV_1,314_PV_1,314,3,51.6,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,314_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,314_PV_2,314_PV_2,314,3,51.6,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,314_PV_2,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
pv,313_PV_1,313_PV_1,313,3,95.1,RTS_Data/timeseries_data_files/PV/DAY_AHEAD_pv.csv,313_PV_1,VERIFIED,gen.csv + bus.csv + timeseries_pointers.csv + time-series header,metadata_category=Solar PV; simulation=DAY_AHEAD
