run_id,evidence_status,target,model,framework,implementation_id,feature_set,feature_count,fold,seed,training_seconds,prediction_seconds,epochs,MAE,RMSE,sMAPE,nMAE,nRMSE
P10-load-random_forest-B_lags_only-F05-S42,VALID,load,random_forest,sklearn,SKLEARN_RANDOM_FOREST_REGRESSOR,B_lags_only,3,F05,42,0.5154297999997652,0.0970102000001134,N/A,338.4944798582138,428.3232192294867,7.321709925681175,0.07260459251376289,0.0918722007205737
P10-load-mlp-E_full-F05-S42,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F05,42,0.2199955999994927,0.0,12,556.7729,676.2438077350505,12.0798,0.11942372,0.1450493553724266
P10-load-mlp-E_full-F05-S123,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F05,123,0.1756851000000097,0.0,12,506.37643,628.3558158002518,10.836517,0.10861404,0.13477773102515572
P10-load-mlp-E_full-F05-S2020,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F05,2020,0.17896310000014637,0.0,12,721.9661,927.5921450184882,15.285892,0.15485646,0.19896173709020193
P10-load-mlp-E_full-F05-S2025,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F05,2025,0.1759516000001895,0.0,12,520.2191,664.6939380271193,11.058074,0.111583196,0.1425719927162242
P10-load-mlp-E_full-F05-S31415,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F05,31415,0.1547774999999092,0.0,12,587.14307,723.6827473071332,12.626191,0.1259379,0.15522466126916917
P10-load-random_forest-B_lags_only-F06-S42,VALID,load,random_forest,sklearn,SKLEARN_RANDOM_FOREST_REGRESSOR,B_lags_only,3,F06,42,0.47487749999982043,0.1022434999995312,N/A,233.4370768607666,318.23939696040446,5.8878078811993895,0.06036846333214737,0.0822989373607845
P10-load-mlp-E_full-F06-S42,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F06,42,0.19258069999978034,0.0,12,444.9527,541.7557394712122,11.76378,0.115067884,0.14010182929404616
P10-load-mlp-E_full-F06-S123,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F06,123,0.18098510000072565,0.0,12,363.57745,441.74006072576213,9.62068,0.094023675,0.11423707414811975
P10-load-mlp-E_full-F06-S2020,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F06,2020,0.18720440000015515,0.0,12,362.60715,440.4982087080491,9.497583,0.09377275,0.11391592251701027
P10-load-mlp-E_full-F06-S2025,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F06,2025,0.18605320000006031,0.0,12,347.02344,411.1825932599774,9.218872,0.08974269,0.10633469900258198
P10-load-mlp-E_full-F06-S31415,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F06,31415,0.19061839999994845,0.0,12,415.32492,499.726331355473,10.989479,0.10740593,0.12923272993404947
P10-wind-hist_gradient_boosting-B_lags_only-F05-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,B_lags_only,3,F05,42,3.8587829999996757,0.005810899999232788,N/A,541.2722543062326,648.4101300879556,111.4289353760003,0.964438837431229,1.1553370915754682
P10-wind-mlp-E_full-F05-S42,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F05,42,0.16429650000009133,0.0,12,529.5544,636.5876805279851,111.38318,0.94356,1.1342718523756097
P10-wind-mlp-E_full-F05-S123,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F05,123,0.1622750000005908,0.0,12,523.59686,642.5527458893939,111.485634,0.9329449,1.1449004051170248
P10-wind-mlp-E_full-F05-S2020,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F05,2020,0.06952060000003257,0.0,5,524.6606,640.0985275721231,111.58172,0.9348402,1.1405274792153546
P10-wind-mlp-E_full-F05-S2025,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F05,2025,0.16846559999976307,0.0,12,533.6607,644.818239894003,112.364845,0.95087665,1.1489370620611594
P10-wind-mlp-E_full-F05-S31415,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F05,31415,0.1659151000003476,0.0,12,509.67474,639.5110192561189,110.04626,0.90813845,1.1394806569687672
