run_id,evidence_status,target,model,framework,implementation_id,feature_set,feature_count,fold,seed,training_seconds,prediction_seconds,epochs,MAE,RMSE,sMAPE,nMAE,nRMSE
P10-load-random_forest-A_calendar_only-F01-S42,VALID,load,random_forest,sklearn,SKLEARN_RANDOM_FOREST_REGRESSOR,A_calendar_only,6,F01,42,0.41343200000028446,0.09083150000060414,N/A,499.01145922679825,689.1585068298257,11.655146803501216,0.12007941925450363,0.16583537661169254
P10-load-random_forest-B_lags_only-F01-S42,VALID,load,random_forest,sklearn,SKLEARN_RANDOM_FOREST_REGRESSOR,B_lags_only,3,F01,42,0.4210059999995792,0.09395339999991847,N/A,419.585279219533,588.7413701960812,9.570061661785166,0.10096673277701464,0.14167153983555178
P10-load-random_forest-C_calendar_lags-F01-S42,VALID,load,random_forest,sklearn,SKLEARN_RANDOM_FOREST_REGRESSOR,C_calendar_lags,9,F01,42,0.4155732999997781,0.09402779999982158,N/A,389.2084094224491,590.4921133764593,8.673182989800907,0.09365700708523314,0.14209282920772237
P10-load-random_forest-D_calendar_lags_rolling-F01-S42,VALID,load,random_forest,sklearn,SKLEARN_RANDOM_FOREST_REGRESSOR,D_calendar_lags_rolling,11,F01,42,0.4253846000001431,0.09883519999948476,N/A,407.00010906616905,616.3636680755744,9.08787937988739,0.09793830548282656,0.1483184202358212
P10-load-random_forest-E_full-F01-S42,VALID,load,random_forest,sklearn,SKLEARN_RANDOM_FOREST_REGRESSOR,E_full,12,F01,42,0.4795966000001499,0.09179710000080377,N/A,404.811710363848,614.5386004343634,9.036361374445724,0.09741170105238084,0.1478792458272888
P10-load-mlp-A_calendar_only-F01-S42,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F01,42,0.22846380000009958,0.0,12,729.54333,951.6413124176566,17.490372,0.17555335,0.22899781963077037
P10-load-mlp-A_calendar_only-F01-S123,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F01,123,0.09803269999974873,0.0,12,728.63324,955.2571970417182,17.450342,0.17533435,0.2298679265546101
P10-load-mlp-A_calendar_only-F01-S2020,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F01,2020,0.0983074999994642,0.0,12,731.76666,955.8089178805562,17.549948,0.17608836,0.23000068967395998
P10-load-mlp-A_calendar_only-F01-S2025,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F01,2025,0.1012020999996821,0.0,12,746.8424,975.7464450357993,17.950632,0.17971611,0.2347983484008398
P10-load-mlp-A_calendar_only-F01-S31415,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F01,31415,0.0972884000002523,0.0,12,742.5465,953.3842352378185,17.869177,0.17868237,0.2294172271537454
P10-load-mlp-C_calendar_lags-F01-S42,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F01,42,0.09936279999965336,0.0,12,615.7217,809.1278483651394,14.554886,0.14816393,0.19470415025113372
P10-load-mlp-C_calendar_lags-F01-S123,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F01,123,0.1030006000000867,0.0,12,473.76477,594.6693934447947,11.191012,0.11400419,0.14309802729565071
P10-load-mlp-C_calendar_lags-F01-S2020,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F01,2020,0.09773499999937485,0.0,12,536.425,736.6332194518518,12.410391,0.1290824,0.17725943474807374
P10-load-mlp-C_calendar_lags-F01-S2025,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F01,2025,0.09599549999984447,0.0,12,557.4211,767.9042095209533,12.8944,0.13413478,0.1847843167073564
P10-load-mlp-C_calendar_lags-F01-S31415,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F01,31415,0.10724759999993694,0.0,12,545.5731,722.0509850419152,12.748162,0.13128376,0.1737504447098662
P10-load-mlp-E_full-F01-S42,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F01,42,0.0976596000000427,0.0,12,515.6506,685.5263032882108,11.999118,0.12408336,0.1649613427917737
