target,horizon,baseline,fold,MAE,RMSE,sMAPE,nMAE,nRMSE,external_baseline,samples
load,1,H1_PERSISTENCE,F01,174.41757125887096,211.0575747957955,4.25307296429619,0.04197090122338715,0.05078775355181676,False,744
load,1,H1_PERSISTENCE,F02,235.00583405966435,269.47148124138226,5.122309519928456,0.04954194918294821,0.05680770642708788,False,720
load,1,H1_PERSISTENCE,F03,254.52130005560036,292.9356724574775,4.820712015766568,0.04682752341220599,0.05389510448546446,False,744
load,1,H1_PERSISTENCE,F04,247.5737958406138,284.82005292112086,4.699052208965008,0.04680424473930208,0.053845712622039264,False,744
load,1,H1_PERSISTENCE,F05,213.89324131990742,247.96996086409462,4.703335952672593,0.04587853732204074,0.053187744661988605,False,720
load,1,H1_PERSISTENCE,F06,144.08856077299507,174.44614712447145,3.792611482098901,0.03726231117430672,0.04511299566349212,False,744
load,1,H1_DAILY_SEASONAL_PERSISTENCE,F01,227.2404474277554,334.0513566600481,5.267473421531792,0.05468191251667564,0.08038431215802325,False,744
load,1,H1_DAILY_SEASONAL_PERSISTENCE,F02,203.94518414997685,274.88943443939337,4.4481596995713755,0.04299400476457941,0.057949873654916405,False,720
load,1,H1_DAILY_SEASONAL_PERSISTENCE,F03,198.02029265125446,256.9437662292604,3.614639900134539,0.036432313869970215,0.04727321535012066,False,744
load,1,H1_DAILY_SEASONAL_PERSISTENCE,F04,244.00016873689518,338.7591199465166,4.463281484169526,0.04612864449250887,0.06404298445161344,False,744
load,1,H1_DAILY_SEASONAL_PERSISTENCE,F05,252.51929380659723,338.07696624468696,5.500828955792177,0.0541635433356869,0.07251503889447858,False,720
load,1,H1_DAILY_SEASONAL_PERSISTENCE,F06,171.59188699467967,265.4852657885894,4.351038515534672,0.044374863999478355,0.06865634949045868,False,744
load,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F01,325.7469202365703,445.84415441504694,7.501433374921644,0.07838597748147638,0.10728552651501719,False,744
load,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F02,511.05104823244216,687.8948578592034,11.115356300262254,0.1077354745797336,0.14501619599205243,False,720
load,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F03,369.16847235803095,442.24151975272304,6.92771834143542,0.06792062306226473,0.08136480174958356,False,744
load,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F04,383.13922512455196,486.4509866135037,6.895179264190109,0.07243311838018966,0.09196438158500118,False,744
load,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F05,384.651593360081,478.6862247667902,7.903459629717028,0.08250495608488613,0.10267469740038943,False,720
load,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F06,265.4639038826725,350.30772442680416,6.455006632147183,0.06865082515194575,0.09059203148624478,False,744
load,24,H24_DAILY_PERSISTENCE,F01,227.2404474277554,334.0513566600481,5.267473421531792,0.05468191251667564,0.08038431215802325,False,744
load,24,H24_DAILY_PERSISTENCE,F02,203.94518414997685,274.88943443939337,4.4481596995713755,0.04299400476457941,0.057949873654916405,False,720
load,24,H24_DAILY_PERSISTENCE,F03,198.02029265125446,256.9437662292604,3.614639900134539,0.036432313869970215,0.04727321535012066,False,744
load,24,H24_DAILY_PERSISTENCE,F04,244.00016873689518,338.7591199465166,4.463281484169526,0.04612864449250887,0.06404298445161344,False,744
load,24,H24_DAILY_PERSISTENCE,F05,252.51929380659723,338.07696624468696,5.500828955792177,0.0541635433356869,0.07251503889447858,False,720
load,24,H24_DAILY_PERSISTENCE,F06,171.59188699467967,265.4852657885894,4.351038515534672,0.044374863999478355,0.06865634949045868,False,744
load,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F01,325.7469202365703,445.84415441504694,7.501433374921644,0.07838597748147638,0.10728552651501719,False,744
load,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F02,511.05104823244216,687.8948578592034,11.115356300262254,0.1077354745797336,0.14501619599205243,False,720
load,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F03,369.16847235803095,442.24151975272304,6.92771834143542,0.06792062306226473,0.08136480174958356,False,744
load,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F04,383.13922512455196,486.4509866135037,6.895179264190109,0.07243311838018966,0.09196438158500118,False,744
load,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F05,384.651593360081,478.6862247667902,7.903459629717028,0.08250495608488613,0.10267469740038943,False,720
load,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F06,265.4639038826725,350.30772442680416,6.455006632147183,0.06865082515194575,0.09059203148624478,False,744
load,24,RTS_DAY_AHEAD,F01,125.2477578534722,128.4825458575255,2.956888267234017,0.030138943200376845,0.030917345094273265,True,744
load,24,RTS_DAY_AHEAD,F02,149.85022358292824,154.12478028074923,3.100827107350037,0.031590161118783336,0.03249128713359246,True,720
load,24,RTS_DAY_AHEAD,F03,168.61399878905692,172.111773962466,3.063458346698341,0.03102206367088097,0.03166559389325398,True,744
load,24,RTS_DAY_AHEAD,F04,162.97412893447583,166.33586986105087,3.039166276669432,0.03081053465664255,0.03144607746335721,True,744
load,24,RTS_DAY_AHEAD,F05,141.99165387079864,145.47306387353672,3.004970651700745,0.03045617220689349,0.03120290921344087,True,720
load,24,RTS_DAY_AHEAD,F06,111.73055368593191,113.87938206549035,2.8411034881552757,0.02889430386970085,0.029450005941466524,True,744
wind,1,H1_PERSISTENCE,F01,93.96609543010752,150.82065278900754,23.74572639801828,0.1540722580815781,0.24729428666985598,False,744
wind,1,H1_PERSISTENCE,F02,76.77358796296296,140.2733302340877,22.641054711373023,0.15135817928005743,0.2765471359241961,False,720
wind,1,H1_PERSISTENCE,F03,67.4060035842294,119.96183773239767,28.288873641768152,0.21413517277266006,0.3810943756197241,False,744
wind,1,H1_PERSISTENCE,F04,70.53183243727598,123.35746706762265,22.76060479133964,0.16933461800441602,0.29615974577811427,False,744
wind,1,H1_PERSISTENCE,F05,73.79230324074075,126.12162447420178,21.22510685916014,0.13148311701306659,0.2247234952745602,False,720
wind,1,H1_PERSISTENCE,F06,84.48690636200716,131.83964131534472,18.781565243587703,0.11988068305720292,0.18707071823862526,False,744
wind,1,H1_DAILY_SEASONAL_PERSISTENCE,F01,607.1363687275986,780.3526634157461,107.36112893246214,0.9954959910288964,1.2795114706225705,False,744
wind,1,H1_DAILY_SEASONAL_PERSISTENCE,F02,497.33758101851856,744.0514814468864,96.27333110943633,0.9804948908578514,1.466888294666642,False,720
wind,1,H1_DAILY_SEASONAL_PERSISTENCE,F03,360.9648185483871,547.3778947982174,104.7825432725959,1.1467118605855917,1.7389083144216382,False,744
wind,1,H1_DAILY_SEASONAL_PERSISTENCE,F04,432.9788866487456,627.7375955258101,99.76196753626418,1.03950672825415,1.507088392179578,False,744
wind,1,H1_DAILY_SEASONAL_PERSISTENCE,F05,553.5912384259259,774.3672605709235,99.9917161995904,0.9863888018497062,1.3797674914762899,False,720
wind,1,H1_DAILY_SEASONAL_PERSISTENCE,F06,618.4303763440861,840.6856558814011,98.0624922481178,0.8775070496934552,1.1928708838222484,False,744
wind,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F01,620.7916666666666,825.0237638173755,115.67916931088067,1.0178860092436453,1.3527567968050047,False,744
wind,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F02,686.479988425926,915.4749634221977,114.4796188126216,1.3533868081099518,1.804847569543151,False,720
wind,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F03,349.83865367383515,560.8570897905195,104.51831114906263,1.1113662962289668,1.781728977196968,False,744
wind,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F04,497.54108422939066,710.4400753733547,118.67041749186791,1.194509294996855,1.7056426101698166,False,744
wind,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F05,546.8054050925925,765.6843469444623,105.7066539868511,0.9742978048349221,1.3642962770240483,False,720
wind,1,H1_WEEKLY_SEASONAL_PERSISTENCE,F06,757.317663530466,994.0142969615364,124.00145776715678,1.0745778571452524,1.4104329063463104,False,744
wind,24,H24_DAILY_PERSISTENCE,F01,607.1363687275986,780.3526634157461,107.36112893246214,0.9954959910288964,1.2795114706225705,False,744
wind,24,H24_DAILY_PERSISTENCE,F02,497.33758101851856,744.0514814468864,96.27333110943633,0.9804948908578514,1.466888294666642,False,720
wind,24,H24_DAILY_PERSISTENCE,F03,360.9648185483871,547.3778947982174,104.7825432725959,1.1467118605855917,1.7389083144216382,False,744
wind,24,H24_DAILY_PERSISTENCE,F04,432.9788866487456,627.7375955258101,99.76196753626418,1.03950672825415,1.507088392179578,False,744
wind,24,H24_DAILY_PERSISTENCE,F05,553.5912384259259,774.3672605709235,99.9917161995904,0.9863888018497062,1.3797674914762899,False,720
wind,24,H24_DAILY_PERSISTENCE,F06,618.4303763440861,840.6856558814011,98.0624922481178,0.8775070496934552,1.1928708838222484,False,744
wind,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F01,620.7916666666666,825.0237638173755,115.67916931088067,1.0178860092436453,1.3527567968050047,False,744
wind,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F02,686.479988425926,915.4749634221977,114.4796188126216,1.3533868081099518,1.804847569543151,False,720
wind,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F03,349.83865367383515,560.8570897905195,104.51831114906263,1.1113662962289668,1.781728977196968,False,744
wind,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F04,497.54108422939066,710.4400753733547,118.67041749186791,1.194509294996855,1.7056426101698166,False,744
wind,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F05,546.8054050925925,765.6843469444623,105.7066539868511,0.9742978048349221,1.3642962770240483,False,720
wind,24,H24_WEEKLY_SEASONAL_PERSISTENCE,F06,757.317663530466,994.0142969615364,124.00145776715678,1.0745778571452524,1.4104329063463104,False,744
wind,24,RTS_DAY_AHEAD,F01,301.9868951612903,452.7964259714688,66.47265365209925,0.4951552220572198,0.7424312724857519,True,744
wind,24,RTS_DAY_AHEAD,F02,264.68881944444445,403.7828659637156,75.94038530179039,0.52183073436956,0.7960529270331212,True,720
wind,24,RTS_DAY_AHEAD,F03,202.23347894265234,324.6901751348441,74.14691428043594,0.6424546576135077,1.0314746914672757,True,744
wind,24,RTS_DAY_AHEAD,F04,201.62820340501793,341.39815881186064,64.86308172058227,0.48407412118306264,0.8196373865832611,True,744
wind,24,RTS_DAY_AHEAD,F05,231.64319444444445,363.1067764184779,68.48917066643867,0.4127418159188724,0.6469836104222526,True,720
wind,24,RTS_DAY_AHEAD,F06,305.1628696236559,456.61444159338197,74.07194587492049,0.43300358398057137,0.6479021840076934,True,744
pv,1,H1_PERSISTENCE,F01,96.42542562724014,164.7910252548814,38.495952677163196,0.20144133598016845,0.3442631864878925,False,744
pv,1,H1_PERSISTENCE,F02,92.60229166666666,152.7236595057868,39.802647366439764,0.19816241443933563,0.3268179282065396,False,720
pv,1,H1_PERSISTENCE,F03,88.23284050179213,141.97438841600678,38.62512428045933,0.2073231659351358,0.33360117979555853,False,744
pv,1,H1_PERSISTENCE,F04,92.69921594982078,164.7133892967193,37.2916236513179,0.20372724852742924,0.36199449211320767,False,744
pv,1,H1_PERSISTENCE,F05,96.63949074074074,177.02939884919076,36.975666088486534,0.21842737455363095,0.400126972038511,False,720
pv,1,H1_PERSISTENCE,F06,92.79424283154123,175.69170346598236,35.43864962870626,0.24071055589065585,0.45574861452824966,False,744
pv,1,H1_DAILY_SEASONAL_PERSISTENCE,F01,54.52343189964158,119.12423471316662,10.402357633342156,0.11390432443146782,0.24886117776654568,False,744
pv,1,H1_DAILY_SEASONAL_PERSISTENCE,F02,33.35744212962963,75.83063343471647,7.12755339086031,0.07138258841068447,0.1622722412095197,False,720
