target,horizon,baseline,mean_validation_MAE,std_fold_MAE,min_fold_MAE,max_fold_MAE
load,1,H1_DAILY_SEASONAL_PERSISTENCE,216.21954562785982,27.941592916668263,171.59188699467967,252.51929380659723
load,1,H1_PERSISTENCE,211.58338388460865,40.061972381224344,144.08856077299507,254.52130005560036
load,1,H1_WEEKLY_SEASONAL_PERSISTENCE,373.2035271990581,74.28318900381822,265.4639038826725,511.05104823244216
load,24,H24_DAILY_PERSISTENCE,216.21954562785982,27.941592916668263,171.59188699467967,252.51929380659723
load,24,H24_WEEKLY_SEASONAL_PERSISTENCE,373.2035271990581,74.28318900381822,265.4639038826725,511.05104823244216
load,24,RTS_DAY_AHEAD,143.40138611944397,19.978900515399182,111.73055368593191,168.61399878905692
pv,1,H1_DAILY_SEASONAL_PERSISTENCE,35.93723933442852,12.603179150634519,18.60142249103943,54.52343189964158
pv,1,H1_PERSISTENCE,93.23225121963361,2.818763868037845,88.23284050179213,96.63949074074074
pv,1,H1_WEEKLY_SEASONAL_PERSISTENCE,57.406497224711266,14.948025714610505,35.23100358422939,69.62367831541218
pv,24,H24_DAILY_PERSISTENCE,35.93723933442852,12.603179150634519,18.60142249103943,54.52343189964158
pv,24,H24_WEEKLY_SEASONAL_PERSISTENCE,57.406497224711266,14.948025714610505,35.23100358422939,69.62367831541218
pv,24,RTS_DAY_AHEAD,49.48383363201912,3.5021850449678,44.29530092592592,53.5876232078853
wind,1,H1_DAILY_SEASONAL_PERSISTENCE,511.7398782855436,92.5371346353844,360.9648185483871,618.4303763440861
wind,1,H1_PERSISTENCE,77.82612150288729,8.981739255724674,67.4060035842294,93.96609543010752
wind,1,H1_WEEKLY_SEASONAL_PERSISTENCE,576.4624102698128,132.44119061036278,349.83865367383515,757.317663530466
wind,24,H24_DAILY_PERSISTENCE,511.7398782855436,92.5371346353844,360.9648185483871,618.4303763440861
wind,24,H24_WEEKLY_SEASONAL_PERSISTENCE,576.4624102698128,132.44119061036278,349.83865367383515,757.317663530466
wind,24,RTS_DAY_AHEAD,251.2239101702509,42.64347680404493,201.62820340501793,305.1628696236559
