target,horizon,model,dimension,slice,samples,MAE
load,1,linear_regression,hour,0,184,43.853628350233116
load,1,linear_regression,month,5,744,104.09832881513347
load,1,linear_regression,output_quartile,low_output,1105,72.44385809146581
load,1,linear_regression,hour,1,184,75.66143855174369
load,1,linear_regression,hour,2,184,85.28197222579864
load,1,linear_regression,hour,3,184,78.89415493778591
load,1,linear_regression,hour,4,184,93.65231943841042
load,1,linear_regression,hour,5,184,86.53098103094644
load,1,linear_regression,hour,6,184,68.89895362904133
load,1,linear_regression,hour,7,184,51.05769384680848
load,1,linear_regression,hour,8,184,31.3425670728143
load,1,linear_regression,hour,9,184,42.39160313039115
load,1,linear_regression,output_quartile,middle_output,2207,72.2359422403868
load,1,linear_regression,hour,10,184,48.72905128905945
load,1,linear_regression,hour,11,184,68.04836050635804
load,1,linear_regression,hour,12,184,76.69118140782818
load,1,linear_regression,hour,13,184,100.2879088624098
load,1,linear_regression,hour,14,184,89.0703478443557
load,1,linear_regression,hour,15,184,74.89660440690443
load,1,linear_regression,hour,16,184,64.91767074702555
load,1,linear_regression,hour,17,184,86.6893317469155
load,1,linear_regression,hour,18,184,144.35610426137606
load,1,linear_regression,hour,19,184,179.72562807074283
load,1,linear_regression,hour,20,184,90.38596520384566
load,1,linear_regression,hour,21,184,105.35743639204722
load,1,linear_regression,hour,22,184,62.93282444481798
load,1,linear_regression,hour,23,184,34.9991133719938
load,1,linear_regression,output_quartile,high_output,1104,97.19287589312762
load,1,linear_regression,target_condition,higher_demand_q4,1104,97.19287589312762
load,1,linear_regression,month,6,720,95.03149718740367
load,1,linear_regression,month,7,744,81.53986595641089
load,1,linear_regression,month,8,744,73.7468744078609
load,1,linear_regression,month,9,720,59.048474232636345
load,1,linear_regression,month,10,744,57.60222017434131
load,1,ridge,hour,0,184,43.94706767532204
load,1,ridge,month,5,744,104.22633332406994
load,1,ridge,output_quartile,low_output,1105,72.56537885959601
load,1,ridge,hour,1,184,75.85064628510271
load,1,ridge,hour,2,184,85.47409706497436
load,1,ridge,hour,3,184,79.10095026871537
load,1,ridge,hour,4,184,93.74360404960467
load,1,ridge,hour,5,184,86.70437626252593
load,1,ridge,hour,6,184,68.69174004355308
load,1,ridge,hour,7,184,50.863662994267386
load,1,ridge,hour,8,184,31.414866923683142
load,1,ridge,hour,9,184,42.78576049662299
load,1,ridge,output_quartile,middle_output,2207,72.30661262467943
load,1,ridge,hour,10,184,48.8931216154553
load,1,ridge,hour,11,184,68.32365775697049
load,1,ridge,hour,12,184,76.91437328176781
load,1,ridge,hour,13,184,100.45882739433772
load,1,ridge,hour,14,184,89.15830430461625
load,1,ridge,hour,15,184,75.10908647403903
load,1,ridge,hour,16,184,65.25108540634383
load,1,ridge,hour,17,184,86.74924757165064
load,1,ridge,hour,18,184,144.26079732759038
load,1,ridge,hour,19,184,179.88390379531614
load,1,ridge,hour,20,184,90.43932378735285
load,1,ridge,hour,21,184,105.36063761502504
load,1,ridge,hour,22,184,63.07191478886252
load,1,ridge,hour,23,184,34.96348429746729
load,1,ridge,output_quartile,high_output,1104,97.3902510815341
load,1,ridge,target_condition,higher_demand_q4,1104,97.3902510815341
load,1,ridge,month,6,720,95.14124127447721
load,1,ridge,month,7,744,81.57871585627639
load,1,ridge,month,8,744,73.85585477781689
load,1,ridge,month,9,720,59.295822416205674
load,1,ridge,month,10,744,57.66381249243228
load,1,random_forest,hour,0,184,79.77809490080669
load,1,random_forest,month,5,744,313.906010606746
load,1,random_forest,output_quartile,low_output,1105,83.52172811689464
load,1,random_forest,hour,1,184,80.54308592521038
load,1,random_forest,hour,2,184,86.99294102393284
load,1,random_forest,hour,3,184,95.17372214913243
load,1,random_forest,hour,4,184,110.61589679763449
load,1,random_forest,hour,5,184,114.68445397174283
load,1,random_forest,hour,6,184,135.04118323622842
load,1,random_forest,hour,7,184,105.14420119611208
load,1,random_forest,hour,8,184,131.3359538929325
load,1,random_forest,hour,9,184,156.54404060239656
load,1,random_forest,output_quartile,middle_output,2207,149.93415051982504
load,1,random_forest,hour,10,184,160.46649236105165
load,1,random_forest,hour,11,184,174.54419662730206
load,1,random_forest,hour,12,184,202.72073652014905
load,1,random_forest,hour,13,184,235.02757838020506
load,1,random_forest,hour,14,184,278.44976249231
load,1,random_forest,hour,15,184,292.88801528782517
load,1,random_forest,hour,16,184,291.92644970691646
load,1,random_forest,hour,17,184,269.5003769579131
load,1,random_forest,hour,18,184,218.66048305684598
load,1,random_forest,hour,19,184,186.06919893127028
load,1,random_forest,hour,20,184,143.31145350387186
load,1,random_forest,hour,21,184,142.23720935532015
load,1,random_forest,hour,22,184,106.33350543997655
load,1,random_forest,hour,23,184,75.24831072973933
load,1,random_forest,output_quartile,high_output,1104,262.2096841976391
load,1,random_forest,target_condition,higher_demand_q4,1104,262.2096841976391
load,1,random_forest,month,6,720,159.83643009024124
load,1,random_forest,month,7,744,226.58666288261736
load,1,random_forest,month,8,744,109.61777425846158
load,1,random_forest,month,9,720,80.69072048623391
load,1,random_forest,month,10,744,75.01874943705928
load,1,extra_trees,hour,0,184,80.94372556224705
load,1,extra_trees,month,5,744,319.2330625394049
load,1,extra_trees,output_quartile,low_output,1105,81.57254894082577
load,1,extra_trees,hour,1,184,85.01222929115224
load,1,extra_trees,hour,2,184,89.42589513719138
load,1,extra_trees,hour,3,184,87.37685462421659
load,1,extra_trees,hour,4,184,93.60801417569898
load,1,extra_trees,hour,5,184,93.64993321570087
load,1,extra_trees,hour,6,184,111.00960821586541
load,1,extra_trees,hour,7,184,98.88033359009943
load,1,extra_trees,hour,8,184,124.4976880510668
load,1,extra_trees,hour,9,184,152.6375768147591
load,1,extra_trees,output_quartile,middle_output,2207,145.88740998685478
load,1,extra_trees,hour,10,184,169.40485185247132
load,1,extra_trees,hour,11,184,197.18520983742633
load,1,extra_trees,hour,12,184,229.48697692570497
load,1,extra_trees,hour,13,184,271.734718798959
load,1,extra_trees,hour,14,184,311.60951853143456
load,1,extra_trees,hour,15,184,327.3108590505144
load,1,extra_trees,hour,16,184,311.97402332358155
load,1,extra_trees,hour,17,184,267.6654507285417
load,1,extra_trees,hour,18,184,227.2275011048105
load,1,extra_trees,hour,19,184,193.14584863813525
load,1,extra_trees,hour,20,184,150.83261362387066
load,1,extra_trees,hour,21,184,135.14807613333917
load,1,extra_trees,hour,22,184,104.22004306979726
load,1,extra_trees,hour,23,184,78.70627204487782
load,1,extra_trees,output_quartile,high_output,1104,292.159857690424
load,1,extra_trees,target_condition,higher_demand_q4,1104,292.159857690424
load,1,extra_trees,month,6,720,195.7960342856653
load,1,extra_trees,month,7,744,221.67626307958741
load,1,extra_trees,month,8,744,101.78849775309526
load,1,extra_trees,month,9,720,89.76855519782619
load,1,extra_trees,month,10,744,68.38975577134683
load,1,hist_gradient_boosting,hour,0,184,73.16570041739837
load,1,hist_gradient_boosting,month,5,744,304.9624242281556
load,1,hist_gradient_boosting,output_quartile,low_output,1105,70.82733806384573
load,1,hist_gradient_boosting,hour,1,184,64.38864418640468
load,1,hist_gradient_boosting,hour,2,184,60.8726682262762
load,1,hist_gradient_boosting,hour,3,184,80.83890344838947
load,1,hist_gradient_boosting,hour,4,184,92.77443344064766
load,1,hist_gradient_boosting,hour,5,184,79.37385314993315
load,1,hist_gradient_boosting,hour,6,184,107.67430933830545
load,1,hist_gradient_boosting,hour,7,184,107.68610569440095
load,1,hist_gradient_boosting,hour,8,184,112.86649161040013
load,1,hist_gradient_boosting,hour,9,184,133.0544859623415
load,1,hist_gradient_boosting,output_quartile,middle_output,2207,139.22777289654908
load,1,hist_gradient_boosting,hour,10,184,143.584851959694
load,1,hist_gradient_boosting,hour,11,184,173.46785987163676
load,1,hist_gradient_boosting,hour,12,184,194.25645367157972
load,1,hist_gradient_boosting,hour,13,184,236.50971677779842
load,1,hist_gradient_boosting,hour,14,184,267.8577340939325
load,1,hist_gradient_boosting,hour,15,184,285.58856741911137
load,1,hist_gradient_boosting,hour,16,184,283.05034304664156
load,1,hist_gradient_boosting,hour,17,184,290.2940746426512
load,1,hist_gradient_boosting,hour,18,184,247.681426207813
load,1,hist_gradient_boosting,hour,19,184,192.4045836854955
load,1,hist_gradient_boosting,hour,20,184,163.18649894802914
load,1,hist_gradient_boosting,hour,21,184,144.35952182158536
