target,horizon,model,negative_prediction_count,negative_prediction_percentage,prediction_above_observed_max_count
load,1,extra_trees,0,0.0,0
load,1,hist_gradient_boosting,0,0.0,0
load,1,linear_regression,0,0.0,0
load,1,random_forest,0,0.0,0
load,1,ridge,0,0.0,0
load,24,extra_trees,0,0.0,0
load,24,hist_gradient_boosting,0,0.0,0
load,24,linear_regression,0,0.0,0
load,24,random_forest,0,0.0,0
load,24,ridge,0,0.0,0
pv,1,extra_trees,0,0.0,0
pv,1,hist_gradient_boosting,1288,29.166666666666668,1
pv,1,linear_regression,1072,24.27536231884058,1
pv,1,random_forest,0,0.0,0
pv,1,ridge,1072,24.27536231884058,1
pv,24,extra_trees,0,0.0,0
pv,24,hist_gradient_boosting,1072,24.27536231884058,1
pv,24,linear_regression,988,22.3731884057971,0
pv,24,random_forest,0,0.0,0
pv,24,ridge,987,22.35054347826087,0
wind,1,extra_trees,0,0.0,0
wind,1,hist_gradient_boosting,0,0.0,0
wind,1,linear_regression,17,0.384963768115942,1
wind,1,random_forest,0,0.0,0
wind,1,ridge,17,0.384963768115942,1
wind,24,extra_trees,0,0.0,0
wind,24,hist_gradient_boosting,42,0.9510869565217391,4
wind,24,linear_regression,15,0.33967391304347827,0
wind,24,random_forest,0,0.0,0
wind,24,ridge,15,0.33967391304347827,0
