target,horizon,model,feature_set,samples,MAE,RMSE,sMAPE,nMAE,nRMSE,best_baseline,best_baseline_MAE,relative_MAE_difference_pct,rts_day_ahead_MAE
load,1,extra_trees,combined_v1,1464,78.90391942371373,102.0810388933481,1.9217431225578328,0.018530752827224117,0.023973948491972798,H1_PERSISTENCE,178.41873153377162,55.77598902008864,
load,1,hist_gradient_boosting,combined_v1,1464,70.64036655090966,93.4293227312915,1.687750446182744,0.016590039908537232,0.021942074601533496,H1_PERSISTENCE,178.41873153377162,60.40753908311547,
load,1,linear_regression,combined_v1,1464,58.313492662027386,81.66220249217284,1.397376754379833,0.013695047431159877,0.019178541456007638,H1_PERSISTENCE,178.41873153377162,67.31649633380023,
load,1,random_forest,combined_v1,1464,77.80824339566976,104.30967715268689,1.8955875528026305,0.01827343098817368,0.024497348913988977,H1_PERSISTENCE,178.41873153377162,56.39009271795995,
load,1,ridge,combined_v1,1464,58.46644032379624,81.709458942848,1.4012102602432779,0.013730967513919274,0.019189639733676846,H1_PERSISTENCE,178.41873153377162,67.23077234033046,
load,24,extra_trees,combined_v1,1464,182.94011630218213,249.01494228191393,4.13578730787153,0.04296387431877733,0.058481687340930844,H24_DAILY_PERSISTENCE,211.39225100054077,13.45940287011081,126.61306197357129
load,24,hist_gradient_boosting,combined_v1,1464,207.9435796366557,290.65973580332513,4.703537597393708,0.04883599071375125,0.06826205542558807,H24_DAILY_PERSISTENCE,211.39225100054077,1.6314086006285287,126.61306197357129
load,24,linear_regression,combined_v1,1464,259.5136241101777,327.2675597579477,6.111068084033028,0.06094732503538428,0.07685948052436925,H24_DAILY_PERSISTENCE,211.39225100054077,-22.764019438685033,126.61306197357129
load,24,random_forest,combined_v1,1464,179.4583223153323,249.6605542519462,4.054659804216973,0.04214616761628571,0.05863331068139788,H24_DAILY_PERSISTENCE,211.39225100054077,15.106480267872623,126.61306197357129
load,24,ridge,combined_v1,1464,259.5022376243722,327.24156201156404,6.110608601139563,0.060944650895042786,0.07685337489849137,H24_DAILY_PERSISTENCE,211.39225100054077,-22.75863301333044,126.61306197357129
pv,1,extra_trees,combined_v1,1464,27.330560930987602,51.245136253044826,107.59436288936848,0.06609558600527458,0.12393003272482579,H1_DAILY_SEASONAL_PERSISTENCE,33.7650956284153,19.056764323251798,
pv,1,hist_gradient_boosting,combined_v1,1464,24.963556084770133,47.03096222729146,105.87656566104076,0.06037127713422299,0.11373857333752259,H1_DAILY_SEASONAL_PERSISTENCE,33.7650956284153,26.066976502913143,
