experiment_id,target,horizon,model,fold,seed,train_samples,validation_samples,training_seconds,prediction_seconds,negative_prediction_count,negative_prediction_percentage,complexity,hyperparameters
LOAD-H1-LINEAR_REGRESSION-FULLV1-DET-F01,load,1,linear_regression,F01,DET,2735,744,0.03759239998180419,0.0015653999871574342,0,0.0,"{""coefficient_count"": 12}","{""fit_intercept"": true}"
LOAD-H1-RIDGE-FULLV1-DET-F01,load,1,ridge,F01,DET,2735,744,0.022821599966846406,0.002911199990194291,0,0.0,"{""coefficient_count"": 12}","{""alpha"": 1.0, ""fit_intercept"": true, ""scaling"": ""StandardScaler inside training-fold pipeline"", ""solver"": ""auto""}"
LOAD-H1-RANDOM_FOREST-FULLV1-S42-F01,load,1,random_forest,F01,42,2735,744,0.23501020000549033,0.041750999982468784,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S123-F01,load,1,random_forest,F01,123,2735,744,0.21959529997548088,0.04324050003197044,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2020-F01,load,1,random_forest,F01,2020,2735,744,0.18287329998565838,0.040938899968750775,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2025-F01,load,1,random_forest,F01,2025,2735,744,0.2070718999602832,0.041212900017853826,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S31415-F01,load,1,random_forest,F01,31415,2735,744,0.1795616999734193,0.03809200000250712,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S42-F01,load,1,extra_trees,F01,42,2735,744,0.1175171000068076,0.037842499965336174,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S123-F01,load,1,extra_trees,F01,123,2735,744,0.10497949999989942,0.03837510000448674,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S2020-F01,load,1,extra_trees,F01,2020,2735,744,0.10309250000864267,0.03779560001567006,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S2025-F01,load,1,extra_trees,F01,2025,2735,744,0.10147250001318753,0.04256779997376725,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S31415-F01,load,1,extra_trees,F01,31415,2735,744,0.10917690000496805,0.04192330001387745,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-HIST_GRADIENT_BOOSTING-FULLV1-DET-F01,load,1,hist_gradient_boosting,F01,DET,2735,744,3.0981679999968037,0.011763199989218265,0,0.0,"{""iterations"": 200}","{""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""max_depth"": null, ""max_iter"": 200, ""max_leaf_nodes"": 31}"
LOAD-H1-LINEAR_REGRESSION-FULLV1-DET-F02,load,1,linear_regression,F02,DET,3479,720,0.011024300009012222,0.0012864999589510262,0,0.0,"{""coefficient_count"": 12}","{""fit_intercept"": true}"
LOAD-H1-RIDGE-FULLV1-DET-F02,load,1,ridge,F02,DET,3479,720,0.021116500021889806,0.0021222999785095453,0,0.0,"{""coefficient_count"": 12}","{""alpha"": 1.0, ""fit_intercept"": true, ""scaling"": ""StandardScaler inside training-fold pipeline"", ""solver"": ""auto""}"
LOAD-H1-RANDOM_FOREST-FULLV1-S42-F02,load,1,random_forest,F02,42,3479,720,0.20969879999756813,0.039118300017435104,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S123-F02,load,1,random_forest,F02,123,3479,720,0.2622037000255659,0.041173099947627634,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2020-F02,load,1,random_forest,F02,2020,3479,720,0.2265469000558369,0.04600850003771484,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
