target,horizon,model,fold,seed,MAE
load,1,extra_trees,F01,42,322.5075506225438
load,1,extra_trees,F01,123,319.05216467946485
load,1,extra_trees,F01,2020,322.2177316805752
load,1,extra_trees,F01,2025,320.1499163510566
load,1,extra_trees,F01,31415,315.0509196737542
load,1,extra_trees,F02,42,189.42046747934756
load,1,extra_trees,F02,123,192.0650819524581
load,1,extra_trees,F02,2020,201.77137253244973
load,1,extra_trees,F02,2025,210.45794919846554
load,1,extra_trees,F02,31415,194.84290709923778
load,1,extra_trees,F03,42,216.91045033464695
load,1,extra_trees,F03,123,224.53451139072325
load,1,extra_trees,F03,2020,223.7066526111414
load,1,extra_trees,F03,2025,231.1874163560832
load,1,extra_trees,F03,31415,219.63481424271274
load,1,extra_trees,F04,42,109.0899834158239
load,1,extra_trees,F04,123,105.8212931734038
load,1,extra_trees,F04,2020,101.71787867564959
load,1,extra_trees,F04,2025,104.07110435261569
load,1,extra_trees,F04,31415,102.1303596940089
load,1,extra_trees,F05,42,90.68289063866898
load,1,extra_trees,F05,123,89.67449725321808
load,1,extra_trees,F05,2020,93.33150293477836
load,1,extra_trees,F05,2025,95.35155531145382
load,1,extra_trees,F05,31415,94.60825588925395
load,1,extra_trees,F06,42,69.51597456167025
load,1,extra_trees,F06,123,70.37887565751966
load,1,extra_trees,F06,2020,69.34240017660966
load,1,extra_trees,F06,2025,70.98982886819687
load,1,extra_trees,F06,31415,71.53470629916765
load,1,random_forest,F01,42,319.2938116167206
load,1,random_forest,F01,123,312.81659828583287
load,1,random_forest,F01,2020,311.3642052569413
load,1,random_forest,F01,2025,309.40976254894593
load,1,random_forest,F01,31415,319.8006830765779
load,1,random_forest,F02,42,153.95729388863845
load,1,random_forest,F02,123,169.52389178942542
load,1,random_forest,F02,2020,158.53909581154133
load,1,random_forest,F02,2025,160.51797695858917
load,1,random_forest,F02,31415,161.83187685256087
load,1,random_forest,F03,42,229.72515690076386
load,1,random_forest,F03,123,228.43669675409933
load,1,random_forest,F03,2020,226.0702917084153
load,1,random_forest,F03,2025,225.62282918069758
load,1,random_forest,F03,31415,226.7500134534276
load,1,random_forest,F04,42,113.01407581656213
load,1,random_forest,F04,123,108.89639085134893
load,1,random_forest,F04,2020,110.70277274300571
load,1,random_forest,F04,2025,109.7650185951275
load,1,random_forest,F04,31415,113.42410216008861
load,1,random_forest,F05,42,83.7055282782418
load,1,random_forest,F05,123,81.47504265128431
load,1,random_forest,F05,2020,82.12291266292316
load,1,random_forest,F05,2025,81.87639174810442
load,1,random_forest,F05,31415,82.75962746281427
load,1,random_forest,F06,42,77.98612547390074
load,1,random_forest,F06,123,75.06848366593138
load,1,random_forest,F06,2020,77.07049736446722
load,1,random_forest,F06,2025,76.00690624336752
load,1,random_forest,F06,31415,74.07271558936215
load,24,extra_trees,F01,42,419.29943308618755
load,24,extra_trees,F01,123,410.09985075606687
load,24,extra_trees,F01,2020,412.45918160251813
load,24,extra_trees,F01,2025,422.9667326988272
load,24,extra_trees,F01,31415,410.2982460287911
load,24,extra_trees,F02,42,566.7883692722199
load,24,extra_trees,F02,123,574.650625458399
load,24,extra_trees,F02,2020,570.614198208023
load,24,extra_trees,F02,2025,592.9647825288883
load,24,extra_trees,F02,31415,553.4405973082335
load,24,extra_trees,F03,42,296.61172055731697
load,24,extra_trees,F03,123,305.27577067392536
load,24,extra_trees,F03,2020,309.5657507766991
load,24,extra_trees,F03,2025,289.96161297652344
load,24,extra_trees,F03,31415,301.08252708081915
load,24,extra_trees,F04,42,259.4109392411786
load,24,extra_trees,F04,123,256.2360420370606
load,24,extra_trees,F04,2020,262.0954124429517
load,24,extra_trees,F04,2025,269.7257404121625
load,24,extra_trees,F04,31415,263.69993923917355
load,24,extra_trees,F05,42,236.87837829882193
load,24,extra_trees,F05,123,251.72472170261054
load,24,extra_trees,F05,2020,243.7785774195095
load,24,extra_trees,F05,2025,250.90281703258665
load,24,extra_trees,F05,31415,245.2177647148563
load,24,extra_trees,F06,42,124.81270861808466
load,24,extra_trees,F06,123,125.03589731996051
load,24,extra_trees,F06,2020,127.55835767940161
load,24,extra_trees,F06,2025,124.92091298015512
load,24,extra_trees,F06,31415,127.54066430152469
load,24,random_forest,F01,42,405.6058341043559
load,24,random_forest,F01,123,404.06432276230225
load,24,random_forest,F01,2020,407.1852709651093
load,24,random_forest,F01,2025,399.21422327572986
load,24,random_forest,F01,31415,402.1704944038766
load,24,random_forest,F02,42,651.9399233728782
load,24,random_forest,F02,123,613.323482353888
load,24,random_forest,F02,2020,641.8435648988889
load,24,random_forest,F02,2025,599.263244581655
load,24,random_forest,F02,31415,590.2781072126656
load,24,random_forest,F03,42,315.80842780392294
load,24,random_forest,F03,123,306.4735263898824
load,24,random_forest,F03,2020,302.67797554612764
load,24,random_forest,F03,2025,312.02341187404306
load,24,random_forest,F03,31415,296.9558235818412
load,24,random_forest,F04,42,267.52038284439095
load,24,random_forest,F04,123,259.5306057640029
load,24,random_forest,F04,2020,260.9406483812488
load,24,random_forest,F04,2025,258.69643366244344
load,24,random_forest,F04,31415,259.4219455855172
load,24,random_forest,F05,42,239.0481135923962
load,24,random_forest,F05,123,237.64542178904316
