experiment_id,target,horizon,model,track,fold,seed,training_seconds,prediction_seconds,best_epoch,stopped_epoch,parameter_count,training_status,failure_reason,samples
LOAD-H1-MLP-NNV1-S42-F01,load,1,mlp,tabular,F01,42,1.1594142999965698,0.0014081000117585063,11,12,2945,SUCCESS,,744
LOAD-H1-LSTM-NNV1-S42-F01,load,1,lstm,sequence,F01,42,3.735535899992101,0.030786900024395436,12,12,5287,SUCCESS,,744
LOAD-H1-GRU-NNV1-S42-F01,load,1,gru,sequence,F01,42,8.944011000043247,0.08995269995648414,12,12,3975,SUCCESS,,744
LOAD-H1-MLP-NNV1-S42-F02,load,1,mlp,tabular,F02,42,1.4391007000231184,0.0011139999842271209,10,12,2945,SUCCESS,,720
LOAD-H1-LSTM-NNV1-S42-F02,load,1,lstm,sequence,F02,42,5.006918700004462,0.02797870000358671,12,12,5287,SUCCESS,,720
LOAD-H1-GRU-NNV1-S42-F02,load,1,gru,sequence,F02,42,11.108845099981409,0.07809230004204437,12,12,3975,SUCCESS,,720
LOAD-H1-MLP-NNV1-S42-F03,load,1,mlp,tabular,F03,42,1.7384384999750182,0.0010231000487692654,11,12,2945,SUCCESS,,744
LOAD-H1-LSTM-NNV1-S42-F03,load,1,lstm,sequence,F03,42,7.382454100006726,0.024430899997241795,12,12,5287,SUCCESS,,744
LOAD-H1-GRU-NNV1-S42-F03,load,1,gru,sequence,F03,42,12.393800600024406,0.09461249999003485,12,12,3975,SUCCESS,,744
LOAD-H1-MLP-NNV1-S42-F04,load,1,mlp,tabular,F04,42,2.016810400004033,0.0010569999576546252,12,12,2945,SUCCESS,,744
LOAD-H1-LSTM-NNV1-S42-F04,load,1,lstm,sequence,F04,42,8.269396799965762,0.02405560004990548,12,12,5287,SUCCESS,,744
LOAD-H1-GRU-NNV1-S42-F04,load,1,gru,sequence,F04,42,14.268918099987786,0.0934830000041984,12,12,3975,SUCCESS,,744
LOAD-H1-MLP-NNV1-S42-F05,load,1,mlp,tabular,F05,42,2.2749123999965377,0.0009181999485008419,12,12,2945,SUCCESS,,720
LOAD-H1-LSTM-NNV1-S42-F05,load,1,lstm,sequence,F05,42,9.362093699979596,0.02545090002240613,12,12,5287,SUCCESS,,720
LOAD-H1-GRU-NNV1-S42-F05,load,1,gru,sequence,F05,42,15.94250900001498,0.08370779996039346,12,12,3975,SUCCESS,,720
LOAD-H1-MLP-NNV1-S42-F06,load,1,mlp,tabular,F06,42,2.6345311000477523,0.0009142000344581902,12,12,2945,SUCCESS,,744
LOAD-H1-LSTM-NNV1-S42-F06,load,1,lstm,sequence,F06,42,11.39792319998378,0.02854630001820624,12,12,5287,SUCCESS,,744
LOAD-H1-GRU-NNV1-S42-F06,load,1,gru,sequence,F06,42,17.280530099989846,0.09507989999838173,12,12,3975,SUCCESS,,744
LOAD-H24-MLP-NNV1-S42-F01,load,24,mlp,tabular,F01,42,1.2457097999867983,0.0006858999840915203,12,12,2945,SUCCESS,,744
LOAD-H24-MLP-NNV1-S123-F01,load,24,mlp,tabular,F01,123,1.0808671999839135,0.000861200038343668,11,12,2945,SUCCESS,,744
LOAD-H24-MLP-NNV1-S2020-F01,load,24,mlp,tabular,F01,2020,1.1086495000054128,0.0010981999803334475,12,12,2945,SUCCESS,,744
LOAD-H24-MLP-NNV1-S2025-F01,load,24,mlp,tabular,F01,2025,1.1139141999883577,0.0006744000129401684,10,12,2945,SUCCESS,,744
LOAD-H24-MLP-NNV1-S31415-F01,load,24,mlp,tabular,F01,31415,1.1546281999908388,0.0008347000111825764,10,12,2945,SUCCESS,,744
LOAD-H24-LSTM-NNV1-S42-F01,load,24,lstm,sequence,F01,42,3.4980872999876738,0.028644800011534244,12,12,5287,SUCCESS,,744
LOAD-H24-LSTM-NNV1-S123-F01,load,24,lstm,sequence,F01,123,3.4775228000362404,0.02872670005308464,12,12,5287,SUCCESS,,744
LOAD-H24-LSTM-NNV1-S2020-F01,load,24,lstm,sequence,F01,2020,3.467964800016489,0.02645249996567145,12,12,5287,SUCCESS,,744
LOAD-H24-LSTM-NNV1-S2025-F01,load,24,lstm,sequence,F01,2025,3.483623899985105,0.026213500008452684,12,12,5287,SUCCESS,,744
LOAD-H24-LSTM-NNV1-S31415-F01,load,24,lstm,sequence,F01,31415,3.471412600018084,0.02705390000483021,12,12,5287,SUCCESS,,744
LOAD-H24-GRU-NNV1-S42-F01,load,24,gru,sequence,F01,42,8.567251799977385,0.07527129998197779,12,12,3975,SUCCESS,,744
LOAD-H24-GRU-NNV1-S123-F01,load,24,gru,sequence,F01,123,8.38629100000253,0.09512579999864101,12,12,3975,SUCCESS,,744
LOAD-H24-GRU-NNV1-S2020-F01,load,24,gru,sequence,F01,2020,8.525506200036034,0.09107919997768477,12,12,3975,SUCCESS,,744
LOAD-H24-GRU-NNV1-S2025-F01,load,24,gru,sequence,F01,2025,8.614966899971478,0.09933699999237433,12,12,3975,SUCCESS,,744
LOAD-H24-GRU-NNV1-S31415-F01,load,24,gru,sequence,F01,31415,8.506614600017201,0.09504919999744743,12,12,3975,SUCCESS,,744
LOAD-H24-MLP-NNV1-S42-F02,load,24,mlp,tabular,F02,42,0.7039249000372365,0.000692599976900965,2,6,2945,SUCCESS,,720
LOAD-H24-MLP-NNV1-S123-F02,load,24,mlp,tabular,F02,123,1.4087673999601975,0.0008083999855443835,11,12,2945,SUCCESS,,720
LOAD-H24-MLP-NNV1-S2020-F02,load,24,mlp,tabular,F02,2020,0.7050892999977805,0.0008425999549217522,2,6,2945,SUCCESS,,720
LOAD-H24-MLP-NNV1-S2025-F02,load,24,mlp,tabular,F02,2025,0.6020153000135906,0.0008399999933317304,1,5,2945,SUCCESS,,720
LOAD-H24-MLP-NNV1-S31415-F02,load,24,mlp,tabular,F02,31415,0.5944275000365451,0.0009175000013783574,1,5,2945,SUCCESS,,720
LOAD-H24-LSTM-NNV1-S42-F02,load,24,lstm,sequence,F02,42,4.740589299995918,0.026932900014799088,12,12,5287,SUCCESS,,720
LOAD-H24-LSTM-NNV1-S123-F02,load,24,lstm,sequence,F02,123,4.8352849000366405,0.02415589999873191,12,12,5287,SUCCESS,,720
LOAD-H24-LSTM-NNV1-S2020-F02,load,24,lstm,sequence,F02,2020,4.790427800035104,0.02657389995874837,12,12,5287,SUCCESS,,720
