Target,Scenario,Severity,Seed,Onset,Relevant Detector,Detected?,Detection Delay Hours,Pre-Onset Alert?,Maximum Severity,Primary Trigger,feature_stat,prediction_stat,performance_stat
load,NATURAL_F05_F06,LOW,42,504,CONTROL,False,NOT_DETECTED,False,NONE,NONE,0.031666189419102014,0.03989986885592293,0.036240746356513656
wind,NATURAL_F05_F06,LOW,42,504,CONTROL,False,NOT_DETECTED,False,WATCH,PERFORMANCE_DRIFT,0.02941317207499735,0.05788319400343612,0.06741088234964844
pv,NATURAL_F05_F06,LOW,42,504,CONTROL,False,NOT_DETECTED,False,WARNING,PREDICTION_DRIFT,0.02341464786658855,0.05965849820601109,0.07679101691228112
load,D00,LOW,42,504,CONTROL,False,NOT_DETECTED,False,NONE,NONE,0.031666189419102014,0.03989986885592293,0.036240746356513656
load,D01,LOW,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,0.3802036175686634,0.03989986885592293,0.036240746356513656
load,D01,MEDIUM,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,0.7563011347839982,0.03989986885592293,0.036240746356513656
load,D01,HIGH,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,1.5110062288394752,0.03989986885592293,0.036240746356513656
load,D02,LOW,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,0.3802036175686634,0.03989986885592293,0.036240746356513656
load,D02,MEDIUM,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,0.7563011347839982,0.03989986885592293,0.036240746356513656
load,D02,HIGH,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,1.5110062288394752,0.03989986885592293,0.036240746356513656
load,D03,LOW,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,0.47885131493318567,0.03989986885592293,0.036240746356513656
load,D03,MEDIUM,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,1.145118533989043,0.03989986885592293,0.036240746356513656
load,D03,HIGH,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,3.043346121305042,0.03989986885592293,0.036240746356513656
load,D04,LOW,42,504,DATA_QUALITY,True,0,False,CRITICAL,DATA_QUALITY,nan,0.03989986885592293,0.036240746356513656
load,D04,MEDIUM,42,504,DATA_QUALITY,True,0,False,CRITICAL,DATA_QUALITY,nan,0.03989986885592293,0.036240746356513656
load,D04,HIGH,42,504,DATA_QUALITY,True,0,False,CRITICAL,DATA_QUALITY,nan,0.03989986885592293,0.036240746356513656
load,D05,LOW,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT,0.031666189419102014,0.3604189746445451,2.19601971812645
load,D05,MEDIUM,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT,0.031666189419102014,0.7466494137948011,5.373136738867403
load,D05,HIGH,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT,0.031666189419102014,1.5191102920953135,11.752885436815918
load,D06,LOW,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT,0.031666189419102014,0.35335260715546113,2.1384620877943714
load,D06,MEDIUM,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT,0.031666189419102014,0.7325166788166333,5.256414584894007
load,D06,HIGH,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT,0.031666189419102014,1.4908448221389774,11.519441128869122
load,D07,LOW,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT,0.1795743580995393,0.35335260715546113,2.1384620877943714
load,D07,MEDIUM,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT,0.3348545958945978,0.7325166788166333,5.256414584894007
load,D07,HIGH,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT,0.6465886741123695,1.4908448221389774,11.519441128869122
load,D08,LOW,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT,0.47885131493318567,0.739583046305717,5.314775661880707
load,D08,MEDIUM,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT,1.145118533989043,1.504977557117145,11.63616328284252
load,D08,HIGH,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT,3.043346121305042,3.035766578740002,24.278938524766147
load,D09,LOW,42,504,DATA_QUALITY,True,0,False,CRITICAL,DATA_QUALITY,nan,0.03989986885592293,0.036240746356513656
