target,horizon,model,fold,seed_summary,samples,MAE,RMSE,sMAPE,nMAE,nRMSE
load,1,extra_trees,F01,mean_prediction_across_predefined_seeds,744,319.2330625394049,503.43717405082157,6.959770107828203,0.07681851798747186,0.1211443993386849
load,1,extra_trees,F02,mean_prediction_across_predefined_seeds,720,195.7960342856653,265.6811922209157,3.9812878789073194,0.041276069675532,0.05600866964235441
load,1,extra_trees,F03,mean_prediction_across_predefined_seeds,744,221.67626307958741,318.66362337600304,3.8348930470519718,0.0407846038701754,0.05862860311101036
load,1,extra_trees,F04,mean_prediction_across_predefined_seeds,744,101.78849775309526,137.7287341383102,1.8559346686065,0.019243287619780586,0.026037850081653283
load,1,extra_trees,F05,mean_prediction_across_predefined_seeds,720,89.76855519782619,114.20699394765296,2.0556271125286787,0.019254699141378766,0.024496565678897932
load,1,extra_trees,F06,mean_prediction_across_predefined_seeds,744,68.38975577134683,88.78312186981859,1.7921779709731431,0.01768606992127286,0.02295993725242072
load,1,hist_gradient_boosting,F01,deterministic,744,304.9624242281556,490.34658631686796,6.654142485486367,0.07338450874956565,0.11799435109083724
load,1,hist_gradient_boosting,F02,deterministic,720,173.78497175040553,235.07910356476515,3.635011775848972,0.03663588299272955,0.049557395242459404
load,1,hist_gradient_boosting,F03,deterministic,744,207.15598388420858,308.58635862771865,3.5610753564446225,0.03811312327572286,0.05677456044020757
load,1,hist_gradient_boosting,F04,deterministic,744,102.166734219072,136.87595689996846,1.842118763718898,0.01931479386325355,0.025876631102738613
load,1,hist_gradient_boosting,F05,deterministic,720,75.10790729885777,99.15402221363125,1.6592779044876154,0.01611009729399202,0.021267813235645004
load,1,hist_gradient_boosting,F06,deterministic,744,66.31694002063732,87.53353928148819,1.715304518790933,0.017150025247805498,0.022636786441595984
load,1,linear_regression,F01,deterministic,744,104.09832881513347,131.9628871402617,2.4628575975072415,0.025049658957439633,0.03175483560137702
load,1,linear_regression,F02,deterministic,720,95.03149718740367,116.08605840362652,2.077321963331364,0.02003373926130931,0.024472284397931584
load,1,linear_regression,F03,deterministic,744,81.53986595641089,99.15208290375517,1.5596484621605702,0.015001927073560666,0.018242270813995952
load,1,linear_regression,F04,deterministic,744,73.7468744078609,95.72764033527012,1.3942818715536183,0.013941971309299035,0.01809747227631617
load,1,linear_regression,F05,deterministic,720,59.048474232636345,82.63488594234032,1.2930034992163062,0.012665466249304208,0.01772457921257089
load,1,linear_regression,F06,deterministic,744,57.60222017434131,80.70973539773078,1.4983831303445363,0.014896337647849619,0.020872102955655673
load,1,random_forest,F01,mean_prediction_across_predefined_seeds,744,313.906010606746,494.77498213398655,6.846055740206469,0.07553664501524912,0.11905997631470007
load,1,random_forest,F02,mean_prediction_across_predefined_seeds,720,159.83643009024124,220.6118742399731,3.378506002831014,0.033695369005622956,0.04650753589367006
load,1,random_forest,F03,mean_prediction_across_predefined_seeds,744,226.58666288261736,315.845535080223,4.090689278785552,0.04168803262717706,0.058110123535354115
load,1,random_forest,F04,mean_prediction_across_predefined_seeds,744,109.61777425846158,149.04405331872792,2.000191322608189,0.020723425582058093,0.02817703030638331
load,1,random_forest,F05,mean_prediction_across_predefined_seeds,720,80.69072048623391,107.94007936767969,1.815268917168378,0.01730756992846361,0.02315235829451722
load,1,random_forest,F06,mean_prediction_across_predefined_seeds,744,75.01874943705928,100.67180974423039,1.973315264706746,0.019400374120156775,0.02603443521849081
load,1,ridge,F01,deterministic,744,104.22633332406994,132.20339969781432,2.464367529010332,0.025080461270314103,0.03181271124270815
load,1,ridge,F02,deterministic,720,95.14124127447721,116.2064029973548,2.0788635058093,0.020056874584764923,0.02449765443085347
load,1,ridge,F03,deterministic,744,81.57871585627639,99.1784500873787,1.5601908790945465,0.015009074784165303,0.01824712192039913
load,1,ridge,F04,deterministic,744,73.85585477781689,95.81005807789133,1.3971681476751063,0.01396257423251989,0.018113053489923234
load,1,ridge,F05,deterministic,720,59.295822416205674,82.74041263813562,1.2988807024956512,0.012718520627279862,0.01774721391772399
load,1,ridge,F06,deterministic,744,57.66381249243228,80.69922252870124,1.500238864515175,0.014912265852769844,0.02086938425408067
load,24,extra_trees,F01,mean_prediction_across_predefined_seeds,744,414.5173331369569,623.0089541149549,9.273744221118216,0.09974720963549838,0.14991750593542674
load,24,extra_trees,F02,mean_prediction_across_predefined_seeds,720,570.3847772884073,803.1927857066091,11.585587741288462,0.12024371124325044,0.16932233334890287
load,24,extra_trees,F03,mean_prediction_across_predefined_seeds,744,298.87175020079223,426.90483026404405,5.125875686864115,0.05498724026915338,0.07854311576125975
load,24,extra_trees,F04,mean_prediction_across_predefined_seeds,744,259.8265940214371,352.6466162083976,4.689658949948979,0.04912065695429163,0.06666843910302446
load,24,extra_trees,F05,mean_prediction_across_predefined_seeds,720,243.56359013618393,312.5230404412557,5.18943117384409,0.05224261033867989,0.06703390853494597
load,24,extra_trees,F06,mean_prediction_across_predefined_seeds,744,124.27223839830948,165.8210662188028,3.1161319537045347,0.0321376713923935,0.04288248932151447
load,24,hist_gradient_boosting,F01,deterministic,744,418.03323898984195,621.2361915328595,9.42030127607982,0.10059325820845523,0.14949091793349195
load,24,hist_gradient_boosting,F02,deterministic,720,692.5419332859674,874.9981356439943,14.524098733046271,0.14599585326551237,0.18445973200922117
load,24,hist_gradient_boosting,F03,deterministic,744,271.24804501044355,363.43188704611083,4.791684793730753,0.04990495559887096,0.06686519044054949
load,24,hist_gradient_boosting,F04,deterministic,744,242.51328439085884,316.5945387917133,4.365014740270745,0.04584754649263927,0.05985273290503457
load,24,hist_gradient_boosting,F05,deterministic,720,279.66146709509326,376.7394748311993,5.823431582130178,0.059985341175269526,0.080807864475148
load,24,hist_gradient_boosting,F06,deterministic,744,138.5391724188129,169.96100560082468,3.61976922506809,0.03582720047175493,0.04395310664649908
load,24,linear_regression,F01,deterministic,744,305.5933826220273,386.9355536842073,7.249922800051923,0.07353633916569931,0.09311007937034614
load,24,linear_regression,F02,deterministic,720,256.342660586654,322.3203755812759,5.690745447566753,0.054039999113304954,0.06794886489338059
load,24,linear_regression,F03,deterministic,744,209.3479344622794,273.8006918366521,3.8935137653656215,0.038516404325248325,0.05037459852852463
load,24,linear_regression,F04,deterministic,744,269.9657045598574,328.60812542938334,5.130407898265384,0.051037472946338605,0.06212392177329554
load,24,linear_regression,F05,deterministic,720,337.6572142692767,399.6597718166008,7.55140555268187,0.07242500516292621,0.08572410069742424
