Target,Scenario,Severity,Seed,Onset,Relevant Detector,Detected?,Detection Delay Hours,Pre-Onset Alert?,Maximum Severity,Primary Trigger
load,NATURAL_F05_F06,LOW,42,504,CONTROL,False,NOT_DETECTED,False,NONE,NONE
wind,NATURAL_F05_F06,LOW,42,504,CONTROL,False,NOT_DETECTED,False,WATCH,PERFORMANCE_DRIFT
pv,NATURAL_F05_F06,LOW,42,504,CONTROL,False,NOT_DETECTED,False,WARNING,PREDICTION_DRIFT
load,D00,LOW,42,504,CONTROL,False,NOT_DETECTED,False,NONE,NONE
load,D01,LOW,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D01,MEDIUM,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D01,HIGH,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D02,LOW,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D02,MEDIUM,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D02,HIGH,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D03,LOW,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D03,MEDIUM,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D03,HIGH,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D04,LOW,42,504,DATA_QUALITY,True,0,False,CRITICAL,DATA_QUALITY
load,D04,MEDIUM,42,504,DATA_QUALITY,True,0,False,CRITICAL,DATA_QUALITY
load,D04,HIGH,42,504,DATA_QUALITY,True,0,False,CRITICAL,DATA_QUALITY
load,D05,LOW,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT
load,D05,MEDIUM,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT
load,D05,HIGH,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT
load,D06,LOW,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT
load,D06,MEDIUM,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT
load,D06,HIGH,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT
load,D07,LOW,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D07,MEDIUM,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D07,HIGH,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT
load,D08,LOW,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT
load,D08,MEDIUM,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT
load,D08,HIGH,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT
