study_id,trial_id,target,model,framework,implementation_id,evidence_status,deviation_id,objective_MAE,runtime,trial_status,hyperparameters,fold_MAE
phase09_load_random_forest,0,load,random_forest,sklearn,RANDOM_FOREST,VALID,,464.088836127264,2.268528300046455,COMPLETE,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1.0, ""min_samples_split"": 3.0, ""n_estimators"": 175.0}","[432.6109682462457, 810.9623627389175, 335.55109856590514, 277.23091495798775]"
phase09_load_random_forest,1,load,random_forest,sklearn,RANDOM_FOREST,VALID,,450.08085307979263,2.847307300020475,COMPLETE,"{""bootstrap"": false, ""max_depth"": 24, ""max_features"": ""log2"", ""min_samples_leaf"": 3.0, ""min_samples_split"": 7.0, ""n_estimators"": 267.0}","[430.3629966410434, 771.5645780328597, 325.6820413825535, 272.713796262714]"
phase09_load_random_forest,2,load,random_forest,sklearn,RANDOM_FOREST,VALID,,389.3061974848835,3.278911799949128,COMPLETE,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4.0, ""min_samples_split"": 2.0, ""n_estimators"": 191.0}","[404.811710363848, 594.6133492458397, 305.52613447871965, 252.27359585112677]"
phase09_load_random_forest,3,load,random_forest,sklearn,RANDOM_FOREST,VALID,,459.3824849263934,1.654557499976363,COMPLETE,"{""bootstrap"": false, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1.0, ""min_samples_split"": 7.0, ""n_estimators"": 161.0}","[435.14395997885725, 783.4297574762563, 335.65174431036183, 283.30447794009797]"
phase09_load_random_forest,4,load,random_forest,sklearn,RANDOM_FOREST,VALID,,452.3869704516543,1.9824275000137277,COMPLETE,"{""bootstrap"": false, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4.0, ""min_samples_split"": 11.0, ""n_estimators"": 209.0}","[433.22802998373294, 769.0054191099338, 327.45802695143595, 279.85640576151445]"
phase09_wind_hist_gradient_boosting,0,wind,hist_gradient_boosting,sklearn,HIST_GRADIENT_BOOSTING,VALID,,644.7216064746322,9.220414699986577,COMPLETE,"{""l2_regularization"": 2.5361081166471375e-07, ""learning_rate"": 0.030710573677773714, ""max_iter"": 291.0, ""max_leaf_nodes"": 50.0, ""min_samples_leaf"": 28.0}","[472.6850520116759, 1366.9687992911838, 306.250450890674, 432.98212370499493]"
phase09_wind_hist_gradient_boosting,1,wind,hist_gradient_boosting,sklearn,HIST_GRADIENT_BOOSTING,VALID,,570.6556315599632,3.3317834000336006,COMPLETE,"{""l2_regularization"": 0.023585940584142682, ""learning_rate"": 0.015957084694148364, ""max_iter"": 111.0, ""max_leaf_nodes"": 57.0, ""min_samples_leaf"": 28.0}","[479.2184699567289, 1121.507563300809, 287.75255835588166, 394.1439346264333]"
phase09_wind_hist_gradient_boosting,2,wind,hist_gradient_boosting,sklearn,HIST_GRADIENT_BOOSTING,VALID,,616.215442932051,8.441536800004542,COMPLETE,"{""l2_regularization"": 4.329370014459266e-07, ""learning_rate"": 0.010636066512540286, ""max_iter"": 294.0, ""max_leaf_nodes"": 55.0, ""min_samples_leaf"": 16.0}","[471.49967012730554, 1220.4318080911894, 289.5486200919602, 483.38167341774914]"
phase09_wind_hist_gradient_boosting,3,wind,hist_gradient_boosting,sklearn,HIST_GRADIENT_BOOSTING,VALID,,615.879739673695,3.556630100007169,COMPLETE,"{""l2_regularization"": 4.17890272377219e-06, ""learning_rate"": 0.017322667470546258, ""max_iter"": 161.0, ""max_leaf_nodes"": 40.0, ""min_samples_leaf"": 23.0}","[476.96781399335134, 1231.7007317331897, 321.67085907334734, 433.1795538948913]"
phase09_wind_hist_gradient_boosting,4,wind,hist_gradient_boosting,sklearn,HIST_GRADIENT_BOOSTING,VALID,,631.4049852576723,2.2110040999832563,COMPLETE,"{""l2_regularization"": 0.00012724181576752517, ""learning_rate"": 0.06252287916406217, ""max_iter"": 128.0, ""max_leaf_nodes"": 29.0, ""min_samples_leaf"": 21.0}","[473.6124545147589, 1243.4132550924933, 307.94022667010375, 500.65400475333297]"
phase09_pv_random_forest,0,pv,random_forest,sklearn,RANDOM_FOREST,VALID,,59.890299016737046,1.9017702999990433,COMPLETE,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1.0, ""min_samples_split"": 3.0, ""n_estimators"": 175.0}","[97.86210141449021, 54.01739751984144, 55.63230357142857, 32.04939356118798]"
phase09_pv_random_forest,1,pv,random_forest,sklearn,RANDOM_FOREST,VALID,,53.83637210724352,2.41750649997266,COMPLETE,"{""bootstrap"": false, ""max_depth"": 24, ""max_features"": ""log2"", ""min_samples_leaf"": 3.0, ""min_samples_split"": 7.0, ""n_estimators"": 267.0}","[84.36418304239078, 49.72656817784537, 48.674855927761385, 32.57988128097655]"
phase09_pv_random_forest,2,pv,random_forest,sklearn,RANDOM_FOREST,VALID,,52.68533546481232,2.761771099991165,COMPLETE,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4.0, ""min_samples_split"": 2.0, ""n_estimators"": 191.0}","[80.31228499582636, 50.495205818301464, 49.12115201132128, 30.812699033800193]"
phase09_pv_random_forest,3,pv,random_forest,sklearn,RANDOM_FOREST,VALID,,51.87711994267309,1.5018998000305146,COMPLETE,"{""bootstrap"": false, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1.0, ""min_samples_split"": 7.0, ""n_estimators"": 161.0}","[82.80779851323663, 50.056337326553866, 47.52609153038662, 27.118252400515242]"
phase09_pv_random_forest,4,pv,random_forest,sklearn,RANDOM_FOREST,VALID,,49.00318428156796,1.8591994000016712,COMPLETE,"{""bootstrap"": false, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4.0, ""min_samples_split"": 11.0, ""n_estimators"": 209.0}","[74.11693683425916, 49.95553934704073, 45.77073291401268, 26.16952803095928]"
phase09-load-pytorch-mlp-v1-recovery,0,load,mlp,pytorch,PYTORCH_MLP_V1,VALID,,773.6676635742188,3.531822099990677,COMPLETE,"{""dropout"": 0.3802857225639665, ""hidden_width"": 68.0, ""learning_rate"": 0.0017524101118128151, ""weight_decay"": 3.90796715682288e-05}","[554.383544921875, 862.8370361328125, 974.7627563476562, 702.6873168945312]"
phase09-load-pytorch-mlp-v1-recovery,1,load,mlp,pytorch,PYTORCH_MLP_V1,VALID,,1176.1130828857422,0.5852346999454312,COMPLETE,"{""dropout"": 0.062397808134481064, ""hidden_width"": 47.0, ""learning_rate"": 0.00012551115172973836, ""weight_decay"": 0.0015741890047456662}","[792.7616577148438, 1186.581298828125, 1528.5166015625, 1196.5927734375]"
