Target,Horizon,Model,MAE,RMSE,sMAPE,nMAE,nRMSE,Benchmark_MAE,Relative_Diff_Pct,Status
load,H1,persistence,224.7597,284.6085,6.1305,0.0611,0.0773,197.9187,0.0,BASELINE
load,H1,seasonal_naive,197.9187,264.5605,5.3802,0.0538,0.0719,197.9187,0.0,BASELINE
load,H1,ridge,78.7322,101.8377,2.1229,0.0214,0.0277,197.9187,-60.22,BETTER
load,H1,hist_gradient_boosting,65.2037,90.7925,1.7574,0.0177,0.0247,197.9187,-67.06,BETTER
load,H1,random_forest,66.0102,95.1706,1.7766,0.0179,0.0259,197.9187,-66.65,BETTER
load,H1,mlp,357.8947,455.9329,10.1776,0.0973,0.1239,197.9187,80.83,WORSE
load,H6,persistence,552.4239,661.6799,15.1513,0.1501,0.1798,545.2979,0.0,BASELINE
load,H6,seasonal_naive,545.2979,654.987,14.9397,0.1482,0.178,545.2979,0.0,BASELINE
load,H6,ridge,318.467,379.4075,8.7037,0.0865,0.1031,545.2979,-41.6,BETTER
load,H6,hist_gradient_boosting,136.8857,185.8657,3.724,0.0372,0.0505,545.2979,-74.9,BETTER
load,H6,random_forest,134.1195,189.5987,3.6264,0.0364,0.0515,545.2979,-75.4,BETTER
load,H6,mlp,426.9348,512.7068,11.8078,0.116,0.1393,545.2979,-21.71,BETTER
load,H12,persistence,596.0627,699.9119,16.3688,0.162,0.1902,596.0627,0.0,BASELINE
load,H12,seasonal_naive,612.6693,726.7181,16.8168,0.1665,0.1975,596.0627,2.79,BASELINE
load,H12,ridge,302.427,377.6411,8.0264,0.0822,0.1026,596.0627,-49.26,BETTER
load,H12,hist_gradient_boosting,157.4894,216.66,4.2692,0.0428,0.0589,596.0627,-73.58,BETTER
load,H12,random_forest,159.6634,233.7295,4.2921,0.0434,0.0635,596.0627,-73.21,BETTER
load,H12,mlp,402.4719,530.5925,11.4136,0.1094,0.1442,596.0627,-32.48,BETTER
load,H24,persistence,197.9187,264.5605,5.3802,0.0538,0.0719,197.9187,0.0,BASELINE
load,H24,seasonal_naive,242.5446,311.3059,6.5649,0.0659,0.0846,197.9187,22.55,BASELINE
load,H24,ridge,140.7525,185.8301,3.8773,0.0382,0.0505,197.9187,-28.88,BETTER
load,H24,hist_gradient_boosting,95.1131,142.4775,2.6006,0.0258,0.0387,197.9187,-51.94,BETTER
load,H24,random_forest,91.4831,136.775,2.4981,0.0249,0.0372,197.9187,-53.78,BETTER
load,H24,mlp,376.1144,484.8081,10.6753,0.1022,0.1317,197.9187,90.03,WORSE
wind,H1,persistence,172.3849,269.1789,26.8433,0.1503,0.2347,172.3849,0.0,BASELINE
wind,H1,seasonal_naive,792.1191,1036.9703,94.2147,0.6905,0.904,172.3849,359.51,BASELINE
wind,H1,ridge,98.6774,139.9307,26.0082,0.086,0.122,172.3849,-42.76,BETTER
wind,H1,hist_gradient_boosting,98.0097,143.9521,22.2653,0.0854,0.1255,172.3849,-43.14,BETTER
wind,H1,random_forest,93.6264,144.91,16.4042,0.0816,0.1263,172.3849,-45.69,BETTER
wind,H1,mlp,145.2908,198.7664,35.5336,0.1267,0.1733,172.3849,-15.72,BETTER
wind,H6,persistence,420.8229,614.3984,56.6908,0.3669,0.5356,420.8229,0.0,BASELINE
wind,H6,seasonal_naive,832.257,1071.3452,99.0106,0.7255,0.934,420.8229,97.77,BASELINE
wind,H6,ridge,414.9141,528.2419,64.4735,0.3617,0.4605,420.8229,-1.4,BETTER
wind,H6,hist_gradient_boosting,477.4983,603.5625,69.2244,0.4163,0.5262,420.8229,13.47,WORSE
wind,H6,random_forest,440.0796,559.3001,65.2422,0.3836,0.4876,420.8229,4.58,WORSE
wind,H6,mlp,400.9443,544.0287,62.31,0.3495,0.4743,420.8229,-4.72,BETTER
wind,H12,persistence,609.9571,847.9024,75.4397,0.5317,0.7392,609.9571,0.0,BASELINE
wind,H12,seasonal_naive,860.1588,1099.2649,101.4898,0.7499,0.9583,609.9571,41.02,BASELINE
wind,H12,ridge,622.295,738.8181,79.1079,0.5425,0.6441,609.9571,2.02,WORSE
wind,H12,hist_gradient_boosting,767.5917,932.5201,88.2319,0.6692,0.8129,609.9571,25.84,WORSE
wind,H12,random_forest,697.0396,842.0211,82.6489,0.6077,0.734,609.9571,14.28,WORSE
wind,H12,mlp,599.4143,756.6212,77.4532,0.5226,0.6596,609.9571,-1.73,BETTER
wind,H24,persistence,792.1191,1036.9703,94.2147,0.6905,0.904,792.1191,0.0,BASELINE
wind,H24,seasonal_naive,877.6547,1134.025,99.6726,0.7651,0.9886,792.1191,10.8,BASELINE
wind,H24,ridge,789.2734,885.671,89.1985,0.6881,0.7721,792.1191,-0.36,BETTER
wind,H24,hist_gradient_boosting,897.369,1045.71,97.3275,0.7823,0.9116,792.1191,13.29,WORSE
wind,H24,random_forest,883.788,1019.0487,91.9645,0.7705,0.8884,792.1191,11.57,WORSE
wind,H24,mlp,782.3905,918.8124,92.4081,0.6821,0.801,792.1191,-1.23,BETTER
pv,H1,persistence,175.0231,325.5636,55.4264,0.5241,0.975,105.6577,0.0,BASELINE
pv,H1,seasonal_naive,105.6577,206.4374,38.6039,0.3164,0.6182,105.6577,0.0,BASELINE
pv,H1,ridge,89.053,119.7763,126.1661,0.2667,0.3587,105.6577,-15.72,BETTER
pv,H1,hist_gradient_boosting,23.205,45.92,118.2979,0.0695,0.1375,105.6577,-78.04,BETTER
pv,H1,random_forest,23.7507,48.6733,117.7,0.0711,0.1458,105.6577,-77.52,BETTER
pv,H1,mlp,51.2895,106.4406,125.9674,0.1536,0.3188,105.6577,-51.46,BETTER
pv,H6,persistence,568.0664,728.152,135.8739,1.7012,2.1806,499.9481,0.0,BASELINE
pv,H6,seasonal_naive,499.9481,676.0597,120.6813,1.4972,2.0246,499.9481,0.0,BASELINE
pv,H6,ridge,148.7943,186.2066,128.1648,0.4456,0.5576,499.9481,-70.24,BETTER
pv,H6,hist_gradient_boosting,51.8667,99.6446,123.552,0.1553,0.2984,499.9481,-89.63,BETTER
pv,H6,random_forest,47.9471,99.3944,46.9146,0.1436,0.2977,499.9481,-90.41,BETTER
pv,H6,mlp,67.8392,123.2764,126.0766,0.2032,0.3692,499.9481,-86.43,BETTER
pv,H12,persistence,668.2222,788.4285,183.3333,2.0011,2.3611,668.2222,0.0,BASELINE
pv,H12,seasonal_naive,670.1725,790.1498,183.3333,2.007,2.3663,668.2222,0.29,BASELINE
pv,H12,ridge,141.8776,183.5504,127.4618,0.4249,0.5497,668.2222,-78.77,BETTER
pv,H12,hist_gradient_boosting,57.408,110.7424,123.6594,0.1719,0.3316,668.2222,-91.41,BETTER
pv,H12,random_forest,48.185,103.8861,46.5647,0.1443,0.3111,668.2222,-92.79,BETTER
pv,H12,mlp,87.2974,143.3868,128.3007,0.2614,0.4294,668.2222,-86.94,BETTER
pv,H24,persistence,105.6577,206.4374,38.6039,0.3164,0.6182,40.96,0.0,BASELINE
pv,H24,seasonal_naive,40.96,98.9508,8.5854,0.1227,0.2963,40.96,0.0,BASELINE
pv,H24,ridge,48.913,83.9604,120.7739,0.1465,0.2514,40.96,19.42,WORSE
pv,H24,hist_gradient_boosting,41.0566,91.7658,118.0145,0.123,0.2748,40.96,0.24,WORSE
pv,H24,random_forest,40.4552,92.3501,117.5778,0.1212,0.2766,40.96,-1.23,BETTER
pv,H24,mlp,51.3545,107.026,121.7752,0.1538,0.3205,40.96,25.38,WORSE
