Target,Scenario,Severity,Training Cutoff,Historical Rows,New Rows,Total Rows,Model,Seed,Runtime,Status,Challenger ID
load,A15-01-HIGH-load,HIGH,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.74,COMPLETED,MLOPS-CHAL15-LOAD-A15-01-HIGH-load
pv,A15-01-HIGH-pv,HIGH,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.4,COMPLETED,MLOPS-CHAL15-PV-A15-01-HIGH-pv
wind,A15-01-HIGH-wind,HIGH,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,1.403,COMPLETED,MLOPS-CHAL15-WIND-A15-01-HIGH-wind
load,A15-01-LOW-load,LOW,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.551,COMPLETED,MLOPS-CHAL15-LOAD-A15-01-LOW-load
pv,A15-01-LOW-pv,LOW,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.367,COMPLETED,MLOPS-CHAL15-PV-A15-01-LOW-pv
wind,A15-01-LOW-wind,LOW,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,1.718,COMPLETED,MLOPS-CHAL15-WIND-A15-01-LOW-wind
load,A15-01-MEDIUM-load,MEDIUM,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.557,COMPLETED,MLOPS-CHAL15-LOAD-A15-01-MEDIUM-load
pv,A15-01-MEDIUM-pv,MEDIUM,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.417,COMPLETED,MLOPS-CHAL15-PV-A15-01-MEDIUM-pv
wind,A15-01-MEDIUM-wind,MEDIUM,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,1.812,COMPLETED,MLOPS-CHAL15-WIND-A15-01-MEDIUM-wind
load,A15-02-HIGH-load,HIGH,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.546,COMPLETED,MLOPS-CHAL15-LOAD-A15-02-HIGH-load
pv,A15-02-HIGH-pv,HIGH,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.336,COMPLETED,MLOPS-CHAL15-PV-A15-02-HIGH-pv
wind,A15-02-HIGH-wind,HIGH,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,1.169,COMPLETED,MLOPS-CHAL15-WIND-A15-02-HIGH-wind
load,A15-02-LOW-load,LOW,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.576,COMPLETED,MLOPS-CHAL15-LOAD-A15-02-LOW-load
pv,A15-02-LOW-pv,LOW,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.337,COMPLETED,MLOPS-CHAL15-PV-A15-02-LOW-pv
wind,A15-02-LOW-wind,LOW,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,1.62,COMPLETED,MLOPS-CHAL15-WIND-A15-02-LOW-wind
load,A15-02-MEDIUM-load,MEDIUM,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.542,COMPLETED,MLOPS-CHAL15-LOAD-A15-02-MEDIUM-load
pv,A15-02-MEDIUM-pv,MEDIUM,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,0.359,COMPLETED,MLOPS-CHAL15-PV-A15-02-MEDIUM-pv
wind,A15-02-MEDIUM-wind,MEDIUM,2020-08-15T00:00:00,4920,337,5257,RandomForest,42,1.256,COMPLETED,MLOPS-CHAL15-WIND-A15-02-MEDIUM-wind
